DEBUG 2024-12-10 16:33:23,983 utils (0.000) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1541 LIMIT 21; args=(1541,); alias=default
DEBUG 2024-12-10 16:33:24,149 utils (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:33:24,151 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1541 LIMIT 21; args=(1541,); alias=default
DEBUG 2024-12-10 16:33:24,289 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:33:24,291 utils (0.000) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1542 LIMIT 21; args=(1542,); alias=default
DEBUG 2024-12-10 16:33:24,409 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:33:24,412 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1542 LIMIT 21; args=(1542,); alias=default
DEBUG 2024-12-10 16:33:24,533 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:33:24,536 utils (0.000) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1543 LIMIT 21; args=(1543,); alias=default
DEBUG 2024-12-10 16:33:24,695 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
